City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,udachny,66.4167,112.4,-2.07,76,52,2.98,RU,1727469206
1,waitangi,-43.9535,-176.5597,7.68,86,69,4.02,NZ,1727469207
2,newman,37.3138,-121.0208,36.07,12,0,2.13,US,1727469208
3,anadyr,64.75,177.4833,2.28,69,40,5.0,RU,1727469209
4,edinburgh of the seven seas,-37.0676,-12.3116,11.29,66,98,6.71,SH,1727469211
5,bredasdorp,-34.5322,20.0403,13.01,84,67,0.62,ZA,1727469212
6,doctor alberto oviedo mota,32.2275,-115.1697,42.49,8,0,0.57,MX,1727469213
7,isiro,2.7739,27.616,18.63,99,100,0.83,CD,1727468956
8,kingston,17.997,-76.7936,31.53,74,40,6.17,JM,1727469133
9,wailua homesteads,22.0669,-159.378,28.44,81,75,4.63,US,1727469216
10,sinop,41.7711,34.8709,17.22,77,0,3.45,TR,1727469217
11,wyrzysk,53.153,17.268,15.42,70,99,8.35,PL,1727469219
12,xinqing,48.2333,129.5,7.45,86,24,1.27,CN,1727469220
13,yellowknife,62.456,-114.3525,7.45,83,75,6.71,CA,1727469222
14,haiku-pauwela,20.9219,-156.3051,28.47,70,40,9.77,US,1727469223
15,bandarbeyla,9.4942,50.8122,24.93,82,77,11.71,SO,1727469224
16,belyayevka,51.3974,56.4096,12.11,47,0,0.65,RU,1727469225
17,tofol,5.3248,163.0078,28.39,72,91,1.46,FM,1727469226
18,puerto baquerizo moreno,-0.9,-89.6,25.55,65,75,6.69,EC,1727469227
19,la ronge,55.1001,-105.2842,18.14,36,20,3.6,CA,1727469228
20,izumo,35.3667,132.7667,24.94,73,75,7.72,JP,1727469180
21,avarua,-21.2078,-159.775,24.03,64,75,2.57,CK,1727469230
22,uturoa,-16.7333,-151.4333,26.54,78,6,5.3,PF,1727469231
23,puerto natales,-51.7236,-72.4875,4.25,70,75,7.2,CL,1727469233
24,linhares,-19.3911,-40.0722,24.58,64,0,5.46,BR,1727469234
25,novodvinsk,64.4165,40.8122,13.86,89,100,5.15,RU,1727469235
26,harper,4.375,-7.7169,24.5,91,89,3.65,LR,1727469236
27,whitehorse,60.7161,-135.0538,5.05,70,75,1.03,CA,1727469237
28,salekhard,66.53,66.6019,9.02,88,62,4.26,RU,1727469238
29,ribeira grande,38.5167,-28.7,24.32,88,40,7.72,PT,1727469239
30,mermoz boabab,14.7065,-17.4758,25.88,89,0,2.06,SN,1727469240
31,ampanihy,-24.7,44.75,20.92,82,56,1.37,MG,1727469241
32,kodiak,57.79,-152.4072,6.73,61,0,1.54,US,1727469242
33,santa ines,-3.6667,-45.38,30.5,50,70,1.67,BR,1727469243
34,laguna de perlas,12.3429,-83.6712,28.17,84,99,2.3,NI,1727469245
35,saint-philippe,-21.3585,55.7679,21.04,73,0,4.68,RE,1727469246
36,ilulissat,69.2167,-51.1,5.01,87,75,0.0,GL,1727469247
37,bam,29.106,58.357,27.59,24,12,4.7,IR,1727469248
38,piacabucu,-10.4056,-36.4344,24.45,80,0,5.07,BR,1727469249
39,ushuaia,-54.8,-68.3,0.81,69,40,6.17,AR,1727469242
40,port-vila,-17.7338,168.3219,19.78,100,20,0.51,VU,1727469251
41,port-aux-francais,-49.35,70.2167,1.96,68,36,17.17,TF,1727469252
42,sidi ifni,29.3797,-10.173,21.12,89,62,3.98,MA,1727469253
43,oranjemund,-28.55,16.4333,14.03,89,98,3.78,NA,1727469254
44,puerto ayora,-0.7393,-90.3518,21.42,94,99,3.58,EC,1727469255
45,constantia,44.1833,28.65,18.38,87,0,5.44,RO,1727469257
46,albany,42.6001,-73.9662,23.23,65,99,0.76,US,1727468999
47,zheleznogorsk,52.331,35.3711,20.55,44,100,9.1,RU,1727469259
48,grytviken,-54.2811,-36.5092,1.03,83,21,6.94,GS,1727469260
49,vorgashor,67.5833,63.95,9.72,83,95,6.11,RU,1727469261
50,walvis bay,-22.9575,14.5053,14.53,88,69,5.14,NA,1727469008
51,badger,64.8,-147.5333,4.14,92,100,2.06,US,1727469263
52,adamstown,-25.066,-130.1015,21.25,87,99,4.41,PN,1727469265
53,karratha,-20.7377,116.8463,21.19,54,0,4.17,AU,1727469266
54,tazovsky,67.4667,78.7,4.43,94,100,8.08,RU,1727469134
55,geraldton,-28.7667,114.6,11.23,87,75,3.6,AU,1727469268
56,praia da vitoria,38.7333,-27.0667,25.14,78,40,4.53,PT,1727469269
57,saipan,15.1355,145.701,29.39,84,40,5.14,MP,1727469271
58,mount pearl,47.5166,-52.7813,11.75,89,75,4.12,CA,1727469247
59,iskateley,67.6803,53.1512,11.08,77,69,6.3,RU,1727469273
60,tura,25.5198,90.2201,22.62,98,100,1.32,IN,1727469274
61,hami,42.8,93.45,12.91,33,100,14.89,CN,1727469275
62,papatowai,-46.5619,169.4708,8.35,71,84,6.89,NZ,1727469276
63,pisco,-13.7,-76.2167,19.03,72,0,4.12,PE,1727469278
64,west island,-12.1568,96.8225,25.99,69,100,7.72,CC,1727469279
65,ha giang,22.8333,104.9833,24.5,97,98,0.48,VN,1727469280
66,kerikeri,-35.2268,173.9474,13.84,77,28,0.89,NZ,1727469282
67,coquimbo,-29.9533,-71.3436,15.55,64,75,4.12,CL,1727469068
68,kanker,20.2719,81.4931,23.18,90,100,3.12,IN,1727469284
69,san juan,-31.5375,-68.5364,28.27,10,2,3.94,AR,1727469165
70,punta arenas,-53.15,-70.9167,4.06,48,75,8.75,CL,1727469135
71,afaahiti,-17.75,-149.2833,24.85,82,13,5.07,PF,1727469287
72,baker city,44.7749,-117.8344,26.84,24,0,2.57,US,1727469288
73,tiksi,71.6872,128.8694,-1.16,91,95,6.08,RU,1727469289
74,ocean shores,46.9737,-124.1563,18.0,81,75,3.58,US,1727469237
75,pemangkat,1.1667,108.9667,26.01,87,100,2.53,ID,1727469291
76,westport,41.1415,-73.3579,22.89,67,0,2.06,US,1727469292
77,port mathurin,-19.6833,63.4167,22.29,82,15,8.08,MU,1727469294
78,anshun,26.25,105.9333,18.48,97,100,2.79,CN,1727469028
79,witbank,-25.8713,29.2332,18.67,19,22,3.07,ZA,1727469205
80,al bayda',32.7627,21.7551,18.39,92,21,2.17,LY,1727469298
81,howrah,22.5892,88.3103,28.0,89,40,2.57,IN,1727469299
82,hermanus,-34.4187,19.2345,13.78,83,40,1.16,ZA,1727469301
83,invercargill,-46.4,168.35,8.34,79,99,3.13,NZ,1727469302
84,pemba,-12.974,40.5178,25.39,94,20,3.21,MZ,1727469222
85,ezhva,61.8128,50.7283,16.88,48,0,6.0,RU,1727469305
86,ust-nera,64.5667,143.2,3.54,80,100,2.98,RU,1727469306
87,pangai,-19.8,-174.35,25.06,61,40,5.66,TO,1727469307
88,hamilton,39.1834,-84.5333,21.05,94,100,9.77,US,1727469275
89,berbera,10.4396,45.0143,32.05,63,74,5.48,SO,1727469309
90,jutai,-5.1833,-68.9,26.28,76,81,0.23,BR,1727469310
91,talnakh,69.4865,88.3972,0.45,99,100,5.59,RU,1727469311
92,margaret river,-33.95,115.0667,11.96,61,100,6.4,AU,1727469312
93,nemuro,43.3236,145.575,16.46,95,98,6.26,JP,1727469095
94,tshikapa,-6.4167,20.8,26.94,54,59,2.43,CD,1727469314
95,kruisfontein,-34.0033,24.7314,12.79,92,100,1.23,ZA,1727469316
